index;SpType;RA;DEC;B;V;RV;Teff;e_Teff;log(g);e_log(g);[Fe/H];e_[Fe/H];lum;misc;PHYSREF;NAMES
HD018322;K1III;44.10833333333333;-8.898138888888889;5.0;3.89;-20.3;4642.0;20.0;2.58;0.07;-0.12;0.04;III;;1990ApJS...74.1075M (McWilliam);HD 18322 BD-09 553 SAO 130197 HR 874 HIP 13701
HD018449;K2III;44.766666666666666;35.183138888888884;6.19;4.95;-36.0;4403.0;22.0;2.21;0.1;-0.12;0.06;III;;1990ApJS...74.1075M (McWilliam);HD 18449 BD+34 550 SAO 56052 HR 882 HIP 13905
HD018474;G5:III...;44.958333333333336;47.22069444444445;6.34;5.5;7.3;5038.0;49.0;2.59;0.14;-0.28;0.13;;:III...;1973Urani.277....3F (Fernandez-Figueroa);HD 18474 BD+46 669 SAO 38493 HR 885 HIP 13965
HD018768;F8;45.71666666666667;47.11055555555556;7.28;6.74;;5805.0;46.0;3.89;0.09;-0.54;0.08;;;1993A&A...275..101E (Edvardsson);HD 18768 BD+46 678 SAO 38527 HIP 14181
HD018778;A7III-IV;47.92916666666667;81.47072222222222;6.08;5.91;-2.5;7763.0;68.0;3.89;0.06;0.06;0.06;III;#NAME?;1971A&A....11..325S (Smith);HD 18778 BD+80 97 BD+80 97p SAO 500 HR 906 HIP 14844
HD019476;K0III;47.375;44.85755555555556;4.78;3.8;29.2;4978.0;25.0;2.97;0.06;0.14;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 19476 BD+44 631 SAO 38609 HR 941 HIP 14668
HD019510;F0.5;47.12916666666667;10.44588888888889;10.06;9.63;-40.0;6108.0;55.0;3.91;0.09;-2.13;0.13;;;1995AJ....110.2319C (Clementini);HD 19510 BD+09 398 SAO 93297 HIP 14601
HD019656;K0III;47.82083333333333;39.611583333333336;5.74;4.61;6.7;4684.0;21.0;2.33;0.07;-0.05;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 19656 BD+39 724 SAO 56224 HR 947 HIP 14817
HD019787;K2III;47.90833333333333;19.726666666666667;5.38;4.35;24.7;4869.0;24.0;2.79;0.07;0.1;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 19787 BD+19 477 SAO 93328 HR 951 HIP 14838
HD019994;F8V;48.19166666666667;-1.1961111111111111;5.63;5.06;18.3;6081.0;29.0;4.05;0.05;0.15;0.04;V;;1993A&A...275..101E (Edvardsson);HD 19994 BD-01 457 SAO 130355 HR 962 HIP 14954
HD020084;G3IIp+...;53.083333333333336;84.91102777777779;6.49;5.62;33.1;5006.0;39.0;2.22;0.11;-0.68;0.1;II;p+...;1994AJ....107.2211W (Wallerstein);HD 20084 BD+84 59 SAO 550 HR 965 HIP 16489
HD020123;G5Iab:;49.05;50.937666666666665;6.16;5.06;2.2;5268.0;29.0;1.59;0.06;-0.11;0.07;Ia;b:;1997PASP..109..958A (Bravo Alfaro);HD 20123 BD+50 729 SAO 23914 HR 969 HIP 15219
HD020468;K2II;49.68333333333333;34.22263888888889;6.33;4.84;1.8;4387.0;25.0;1.39;0.08;0.04;0.06;II;;1995AJ....110.2968L (Luck);HD 20468 BD+33 619 SAO 56340 HR 991 HIP 15416
HD020618;G6IV;49.98333333333333;27.07113888888889;6.76;5.93;-0.1;5093.0;26.0;3.14;0.07;-0.25;0.06;IV;;;HD 20618 BD+26 540 SAO 75863 HR 995 HIP 15514
HD020797;M0Iab:;51.17083333333333;64.586;7.23;5.18;-21.0;3918.0;14.0;0.48;0.08;0.17;0.04;Ia;b:;;HD 20797 BD+64 391 SAO 12743 HR 1009 HIP 15890
HD020893;K3III;50.6875;20.74205555555556;6.34;5.09;2.3;4379.0;22.0;2.29;0.1;0.09;0.05;III;;1995AJ....110.2968L (Luck);HD 20893 BD+20 551 SAO 75899 HR 1015 HIP 15737
HD020902;F5Iab:;51.079166666666666;49.86116666666667;2.29;1.82;-2.4;6490.0;13.0;1.74;0.03;0.14;0.02;Ia;b:;;HD 20902 BD+49 917 SAO 38787 HR 1017 HIP 15863
HD022049;K2V;53.23333333333333;-9.45825;4.61;3.73;15.5;5119.0;26.0;4.71;0.05;0.0;0.05;V;;1999ApJ...523..234T (Tomkin);HD 22049 BD-09 697 SAO 130564 HR 1084 HIP 16537
HD022211;G0;53.704166666666666;6.417694444444445;7.09;6.49;-10.6;6018.0;49.0;3.42;0.11;0.2;0.07;;;2001A&A...369.1048P (Prugniel);HD 22211 BD+05 511 SAO 111273 HR 1089 HIP 16695
HD022468;K2:Vnk;54.19583333333333;0.58775;6.76;5.91;-23.0;4748.0;50.0;3.42;0.14;-0.16;0.1;;:Vnk;;HD 22468 BD+00 616 BD+00 6161 SAO 111291 HR 1099 HIP 16846
HD022484;F9IV-V;54.21666666666667;0.4016666666666666;4.86;4.28;27.6;5999.0;27.0;4.09;0.05;-0.08;0.04;IV;#NAME?;1993A&A...275..101E (Edvardsson);HD 22484 BD-00 572 SAO 111292 HR 1101 HIP 16852
HD023183;G8III;55.94583333333333;19.665027777777777;7.14;6.14;78.0;4866.0;25.0;2.51;0.07;-0.28;0.06;III;;1986A&A...161..314C (Cottrell);HD 23183 BD+19 582 SAO 93568 HR 1132 HIP 17408
HD023249;K0IV;55.8125;-9.763388888888889;4.43;3.51;-6.1;5053.0;25.0;3.79;0.06;0.09;0.05;IV;;1981ApJ...248..228L (Lambert);HD 23249 BD-10 728 SAO 130686 HR 1136 HIP 17378
HD023841;K1III;57.12916666666667;9.645944444444444;7.91;6.69;-78.6;4338.0;19.0;2.23;0.09;-0.56;0.06;III;;1984A&A...137....6G (Gratton);HD 23841 BD+09 494 SAO 111430 HIP 17792
HD024398;B1Iab:;58.53333333333333;31.88363888888889;2.97;2.88;;24163.0;2079.0;3.27;0.12;-0.08;0.07;Ia;b:;;HD 24398 BD+31 666 SAO 56799 HR 1203 HIP 18246
HD024421;F5;58.90416666666667;52.22683333333334;7.3;6.83;;6117.0;48.0;4.17;0.08;-0.35;0.08;;;2000A&AS..141..491C (Chen);HD 24421 BD+51 803 SAO 24301 HIP 18366
HD024760;B0.5V+...;59.4625;40.01022222222223;2.73;2.9;;26405.0;1549.0;3.85;0.13;-0.09;0.1;V;+...;;HD 24760 BD+39 895 SAO 56840 HR 1220 HIP 18532
HD025173;F8V;61.85;75.17505555555556;7.7;7.16;36.4;6018.0;36.0;4.07;0.06;-0.55;0.06;V;;2000A&AS..141..491C (Chen);HD 25173 BD+74 184 SAO 5087 HIP 19237
HD025291;F0II;61.1125;59.1555;5.49;5.04;-20.4;7761.0;;2.49;;0.14;;II;;1995ApJS...99..659V (Venn);HD 25291 BD+58 690 SAO 24384 HR 1242 HIP 19018
HD025329;K1V...;60.8125;35.27327777777778;9.37;8.51;-30.0;4840.0;;4.85;;-1.68;;V;...;2000A&A...354..169G (Gratton);HD 25329 BD+34 796 SAO 56928 HIP 18915
HD025457;F5V;60.65416666666667;-0.2689166666666666;5.88;5.38;17.5;6228.0;44.0;4.29;0.07;0.04;0.06;V;;2000A&AS..141..491C (Chen);HD 25457 BD-00 632 SAO 130893 HR 1249 HIP 18859
HD025604;K0III;61.175;22.081916666666668;5.43;4.35;9.1;4795.0;21.0;2.65;0.06;0.06;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 25604 BD+21 585 SAO 76430 HR 1256 HIP 19038
HD025621;F6IV;61.04166666666666;2.826944444444444;5.86;5.36;-17.8;6251.0;29.0;3.98;0.05;0.05;0.04;IV;;1993A&A...275..101E (Edvardsson);HD 25621 BD+02 645 SAO 111590 HR 1257 HIP 18993
HD025642;A0IVn;61.645833333333336;50.35125;4.31;4.29;6.1;10585.0;166.0;4.05;0.07;0.01;0.1;IV;n;;HD 25642 BD+49 1101 SAO 24412 HR 1261 HIP 19167
HD025940;B3Ve;62.16666666666666;47.712500000000006;3.97;4.0;0.8;16827.0;427.0;3.94;0.08;-0.04;0.08;V;e;;HD 25940 BD+47 939 SAO 39336 HR 1273 HIP 19343
HD025975;K1III;62.0625;37.7275;7.04;6.09;-40.2;4986.0;23.0;3.47;0.06;0.05;0.05;III;;1986A&A...161..314C (Cottrell);HD 25975 BD+37 881 SAO 57000 HR 1277 HIP 19302
HD026297;G5/G6IVw;62.2625;-15.89086111111111;8.55;7.47;15.0;4468.0;25.0;1.01;0.09;-1.82;0.07;;/G6IVw;2000A&A...354..169G (Gratton);HD 26297 BD-16 791 SAO 149407 HIP 19378
HD026574;F2II-III;62.96666666666667;-6.837583333333333;4.35;4.04;11.0;7132.0;42.0;3.7;0.06;0.21;0.05;II;#NAME?;1995AJ....110.2425L (Luck);HD 26574 BD-07 764 SAO 131019 HR 1298 HIP 19587
HD026965;K1V;63.81666666666667;-7.652861111111111;5.23;4.41;-42.2;5108.0;26.0;4.49;0.05;-0.29;0.05;V;;1998A&A...338..623M (Mallik);HD 26965 BD-07 780 SAO 131063 HR 1325 HIP 19849
HD027022;G5IIb;65.16666666666667;65.14044444444446;6.06;5.26;-18.5;5321.0;29.0;2.91;0.07;-0.05;0.06;II;b;1995AJ....110.2425L (Luck);HD 27022 BD+64 433 SAO 13098 HR 1327 HIP 20266
HD027295;B9IV;64.85833333333333;21.14230555555556;5.42;5.49;10.0;11956.0;;3.92;;-0.95;;IV;;1993A&A...274..335S (Smith);HD 27295 BD+20 733 SAO 76548 HR 1339 HIP 20171
HD027348;G8III;65.10416666666667;34.566722222222225;5.87;4.93;-27.4;5045.0;24.0;2.88;0.06;0.04;0.05;III;;1995AJ....110.2968L (Luck);HD 27348 BD+34 860 SAO 57171 HR 1343 HIP 20252
HD027371;K0III;64.95;15.627638888888889;4.63;3.65;38.7;5016.0;25.0;2.84;0.06;0.15;0.05;III;;1995AJ....110.2968L (Luck);HD 27371 BD+15 612 SAO 93868 HR 1346 HIP 20205
HD027382;K1III;65.0875;27.35075;6.11;4.96;3.2;4501.0;19.0;2.28;0.07;-0.36;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 27382 BD+27 655 SAO 76558 HR 1348 HIP 20250
HD027697;K0III;65.73333333333333;17.542527777777778;4.75;3.76;38.8;5023.0;26.0;2.83;0.07;0.15;0.06;III;;1995AJ....110.2968L (Luck);HD 27697 BD+17 712 SAO 93897 HR 1373 HIP 20455
HD027971;K1III;66.525;31.438916666666668;6.26;5.29;27.5;4979.0;25.0;2.9;0.06;0.1;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 27971 BD+31 776 SAO 57229 HR 1390 HIP 20704
HD028099;G2V;66.66666666666667;16.74688888888889;8.76;8.1;40.2;5815.0;31.0;4.47;0.06;0.21;0.05;V;;2001A&A...369.1048P (Prugniel);HD 28099 BD+16 601 SAO 93936 HIP 20741
HD028100;G7IIIa;66.65;14.713777777777777;5.66;4.7;31.8;4986.0;25.0;2.38;0.07;-0.17;0.06;III;a;1990ApJS...74.1075M (McWilliam);HD 28100 BD+14 697 SAO 93935 HR 1396 HIP 20732
HD028292;K2III;67.10833333333333;16.35966666666667;6.11;4.97;17.7;4557.0;19.0;2.66;0.07;-0.09;0.04;III;;1990ApJS...74.1075M (McWilliam);HD 28292 BD+16 605 SAO 93950 HR 1407 HIP 20877
HD028305;G9.5III;67.15416666666667;19.180444444444447;4.55;3.54;39.0;4978.0;27.0;2.77;0.07;0.2;0.06;III;;1990ApJS...74.1075M (McWilliam);HD 28305 BD+18 640 SAO 93954 HR 1409 HIP 20889
HD028307;K0IIIb;67.14583333333333;15.962194444444444;4.79;3.85;39.8;5078.0;28.0;2.97;0.07;0.18;0.06;III;b;1990ApJS...74.1075M (McWilliam);HD 28307 BD+15 631 SAO 93955 HR 1411 HIP 20885
HD028527;A6IV;67.64166666666667;16.194027777777777;4.95;4.77;37.8;7757.0;58.0;3.85;0.06;0.13;0.05;IV;;;HD 28527 BD+15 637 SAO 93975 HR 1427 HIP 21029
HD028978;A2Vs;68.53333333333333;5.568611111111111;5.74;5.68;-7.6;8910.0;83.0;3.13;0.09;-0.26;0.08;V;s;1989A&A...225..125L (Lemke);HD 28978 BD+05 679 SAO 111896 HR 1448 HIP 21295
HD029139;K5III;68.97916666666667;16.509305555555557;2.39;0.85;54.3;3863.0;8.0;1.73;0.1;-0.04;0.04;III;;1998A&A...338..623M (Mallik);HD 29139 BD+16 629 SAO 94027 HR 1457 HIP 21421
HD029574;G8/K0IIIw...;69.73333333333333;-13.346694444444443;9.7;8.38;24.0;4306.0;34.0;0.58;0.12;-1.9;0.07;;/K0IIIw...;2000AJ....120.1841F (Fulbright);HD 29574 BD-13 942 SAO 149791 HIP 21648
HD029613;K0III;69.83333333333333;-14.359194444444444;6.51;5.47;56.0;4682.0;21.0;2.78;0.07;-0.24;0.05;III;;1999A&A...348..487R (Randich);HD 29613 BD-14 936 SAO 149797 HR 1487 HIP 21685
HD029645;G0V;70.45833333333333;38.28019444444444;6.56;5.99;46.6;5989.0;32.0;4.03;0.06;0.11;0.05;V;;1993A&A...275..101E (Edvardsson);HD 29645 BD+37 954 SAO 57377 HR 1489 HIP 21847
HD029763;B3V;70.5625;22.956916666666665;4.15;4.26;14.6;10073.0;198.0;2.6;0.07;-0.51;0.16;V;;;HD 29763 BD+22 739 SAO 76721 HR 1497 HIP 21881
HD030562;F8V;72.15;-5.674055555555556;6.4;5.77;78.6;5839.0;28.0;4.03;0.06;0.2;0.04;V;;1993A&A...275..101E (Edvardsson);HD 30562 BD-05 1044 SAO 131504 HR 1536 HIP 22336
HD030614;O9.5Iae;73.5125;66.34266666666666;4.29;4.3;6.1;32591.0;806.0;3.17;0.04;-0.1;0.05;Ia;e;1977PASJ...29..439T (Takada);HD 30614 BD+66 358 SAO 13298 HR 1542 HIP 22783
HD030652;F6V;72.45833333333333;6.961277777777778;3.64;3.19;24.1;6419.0;29.0;4.2;0.04;-0.02;0.04;V;;1977AcA....27..145K (Kuroczkin);HD 30652 BD+06 762 SAO 112106 HR 1543 HIP 22449
HD030739;A1Vn;72.65416666666667;8.900166666666667;4.37;4.35;24.0;9457.0;128.0;4.0;0.05;-0.2;0.1;V;n;IRAF Standard;HD 30739 BD+08 777 SAO 112124 HR 1544 HIP 22509
HD030743;F3/F5V;72.425;-13.769666666666666;6.7;6.26;-3.0;6372.0;30.0;4.18;0.04;-0.41;0.04;;/F5V;1993A&A...275..101E (Edvardsson);HD 30743 BD-14 970 SAO 149916 HR 1545 HIP 22439
HD030812;K1III;72.70416666666667;-0.0949722222222222;8.34;7.27;-8.8;4746.0;26.0;2.58;0.08;-0.08;0.06;III;;Jones..Coude.Feed.Library;HD 30812 BD-00 785 SAO 131538 HIP 22526
HD030814;K0III;72.55;-16.217166666666664;6.03;5.04;37.3;4926.0;24.0;2.75;0.07;0.03;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 30814 BD-16 964 SAO 149924 HR 1549 HIP 22479
HD030834;K3III;73.15833333333333;36.70319444444445;6.21;4.79;-16.5;4223.0;18.0;1.63;0.1;-0.27;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 30834 BD+36 952 SAO 57475 HR 1551 HIP 22678
HD031295;A0V;73.725;10.150833333333331;4.74;4.66;13.0;8817.0;54.0;4.2;0.05;-0.82;0.1;V;;1993A&A...277..139S (Sturenburg);HD 31295 BD+09 683 SAO 94201 HR 1570 HIP 22845
HD031421;K2IIIb;74.09166666666667;13.514472222222222;5.26;4.09;0.8;4498.0;20.0;2.36;0.08;-0.25;0.05;III;b;1998A&A...338..623M (Mallik);HD 31421 BD+13 740 SAO 94218 HR 1580 HIP 22957
HD032147;K3V;75.20416666666667;-5.753666666666667;7.28;6.22;27.0;4617.0;21.0;4.53;0.05;0.17;0.04;V;;1998A&AS..129..237F (Feltzing);HD 32147 BD-05 1123 SAO 131688 HR 1614 HIP 23311
HD032356;K5II;76.625;61.16975;7.42;6.02;-40.0;4111.0;13.0;2.06;0.1;-0.3;0.05;II;;;HD 32356 BD+60 857 SAO 13369 HR 1624 HIP 23766
HD032923;G4V;76.8625;18.645055555555555;5.66;5.01;20.3;5674.0;27.0;4.0;0.06;-0.22;0.05;V;;1972MmRAS..77...55H (Hearnshaw);HD 32923 BD+18 779 SAO 94332 HR 1656 HIP 23835
HD033111;A3III;76.9625;-5.086444444444444;2.92;2.79;-9.2;8002.0;99.0;3.78;0.12;-0.2;0.12;III;;;HD 33111 BD-05 1162 SAO 131794 HR 1666 HIP 23875
HD033256;F2V;77.18333333333334;-4.456194444444445;5.53;5.13;8.8;6406.0;35.0;4.13;0.05;-0.28;0.05;V;;1993A&A...275..101E (Edvardsson);HD 33256 BD-04 1056 SAO 131813 HR 1673 HIP 23941
HD033276;F2IV;77.425;15.597222222222223;5.11;4.82;29.7;7188.0;36.0;3.75;0.05;0.21;0.04;IV;;1990A&A...227..156B (Berthet);HD 33276 BD+15 752 SAO 94359 HR 1676 HIP 24010
HD033608;F5V;77.82916666666667;-2.4907777777777778;6.33;5.9;30.9;6428.0;34.0;4.08;0.05;0.18;0.04;V;;1993A&A...275..101E (Edvardsson);HD 33608 BD-02 1165 SAO 131852 HR 1687 HIP 24162
HD033751;K0;78.1;0.0240833333333333;8.66;7.64;;4936.0;33.0;2.85;0.09;0.12;0.07;;;2001A&A...369.1048P (Prugniel);HD 33751 BD-00 877 SAO 131865
HD033904;B9IV:...;78.23333333333333;-16.205472222222223;3.19;3.28;27.7;12088.0;160.0;4.06;0.06;0.28;0.07;IV;:...;1993A&A...274..335S (Smith);HD 33904 BD-16 1072 SAO 150237 HR 1702 HIP 24305
HD033959;A9IV...;78.85;32.68761111111111;5.2;5.01;-9.7;7500.0;52.0;3.86;0.05;-0.02;0.05;IV;...;1991A&A...249..205B (Burkhart);HD 33959 BD+32 922 HD 33959 A SAO 57799 HR 1706 HIP 24504
HD034255;K4Iab:;80.09583333333333;62.65372222222222;7.42;5.64;-6.4;4196.0;18.0;1.14;0.09;-0.01;0.05;Ia;b:;1971JRASC..65..222B (Bakos);HD 34255 BD+62 742 SAO 13460 HR 1720 HIP 24914
HD034334;K2.5IIIb;79.54583333333333;33.371611111111115;5.83;4.55;-27.5;4214.0;19.0;2.15;0.11;-0.43;0.07;III;b;1990ApJS...74.1075M (McWilliam);HD 34334 BD+33 1000 SAO 57853 HR 1726 HIP 24727
HD034411;G1.5IV-V;79.78333333333333;40.09905555555556;5.34;4.7;65.7;5874.0;27.0;4.21;0.05;0.08;0.04;IV;#NAME?;1993A&A...275..101E (Edvardsson);HD 34411 BD+39 1248 SAO 40233 HR 1729 HIP 24813
HD034578;A5II;80.00416666666666;33.95805555555556;5.3;5.05;-4.5;8570.0;59.0;2.11;0.04;-0.19;0.05;II;;1995ApJS...99..659V (Venn);HD 34578 BD+33 1013 SAO 57906 HR 1740 HIP 24879
HD034797;B8/B9IV:;79.825;-18.509555555555558;6.43;6.54;15.0;12580.0;172.0;4.14;0.07;0.62;0.08;;/B9IV:;1966ApJ...144.1128S (Sargent);HD 34797 BD-18 1056 SAO 150336 HR 1754 HIP 24827
HD034816;B0.5IV;79.89583333333333;-13.176777777777778;4.04;4.27;20.2;29190.0;960.0;3.91;0.07;-0.06;0.05;IV;;1992ApJ...387..673G (Gies);HD 34816 BD-13 1127 SAO 150340 HR 1756 HIP 24845
HD035296;F8V;81.10416666666667;17.38352777777778;5.52;5.0;36.5;6162.0;27.0;4.32;0.04;-0.02;0.04;V;;1993A&A...275..101E (Edvardsson);HD 35296 BD+17 920 SAO 94526 HR 1780 HIP 25278
HD035369;G8III;80.9875;-7.808055555555556;5.09;4.14;-18.2;4941.0;24.0;2.55;0.07;-0.23;0.06;III;;1991ApJS...75..579L (Luck);HD 35369 BD-07 1064 SAO 132067 HR 1784 HIP 25247
HD035410;G9III-IV;81.12083333333334;-0.8913333333333333;6.03;5.08;20.3;4886.0;29.0;2.84;0.08;-0.32;0.06;III;#NAME?;1990ApJS...74.1075M (McWilliam);HD 35410 BD-01 886 SAO 132070 HR 1787 HIP 25282
HD035468;B2III;81.28333333333333;6.349694444444444;1.42;1.64;18.2;22339.0;602.0;3.84;0.05;-0.07;0.04;III;;1992ApJ...387..673G (Gies);HD 35468 BD+06 919 SAO 112740 HR 1790 HIP 25336
HD035497;B7III;81.575;28.607444444444447;1.62;1.68;9.2;14226.0;196.0;3.57;0.07;0.2;0.07;III;;1979ApJS...41..675H (Heacox);HD 35497 BD+28 795 SAO 77168 HR 1791 HIP 25428
HD035620;K3IIICN+...;81.9125;34.47588888888889;6.52;5.07;31.0;4206.0;17.0;1.97;0.1;0.15;0.05;III;CN+...;1995AJ....110.2968L (Luck);HD 35620 BD+34 1048 SAO 58051 HR 1805 HIP 25541
HD036130;G0;84.3875;74.68877777777779;8.32;7.75;-61.4;5925.0;37.0;4.21;0.07;0.1;0.05;;;1998A&AS..129..237F (Feltzing);HD 36130 BD+74 250 SAO 5581 HIP 26437
HD036389;M2Iab:;83.05416666666666;18.59422222222222;6.44;4.37;22.8;3716.0;11.0;0.11;0.09;0.16;0.05;Ia;b:;1980ApJ...241..218L (Luck);HD 36389 BD+18 875 SAO 94628 HR 1845 HIP 25945
HD036673;F0Ib;83.18333333333334;-17.822277777777778;2.82;2.6;23.9;7603.0;24.0;2.05;0.03;0.08;0.03;Ib;;1995ApJS...99..659V (Venn);HD 36673 BD-17 1166 HD 36673 A SAO 150547 HR 1865 HIP 25985
HD036861;O8III;83.78333333333333;9.934722222222222;3.48;3.3;33.5;37689.0;963.0;3.9;0.06;0.03;0.04;III;;;HD 36861 BD+09 879A HR 1879
HD037043;O9III;83.85833333333333;-5.909888888888889;2.53;2.77;21.5;35006.0;969.0;3.67;0.07;0.05;0.06;III;;;HD 37043 BD-06 1241 SAO 132323 HR 1899 HIP 26241
HD037088;G0;84.1125;14.65413888888889;9.19;8.55;;5790.0;35.0;4.26;0.07;0.13;0.05;;;1998A&AS..129..237F (Feltzing);HD 37088 BD+14 958 SAO 94692
HD037160;K0IIIb;84.225;9.290666666666668;5.04;4.09;98.7;4815.0;23.0;2.77;0.08;-0.57;0.05;III;b;1998A&A...338..623M (Mallik);HD 37160 BD+09 898 SAO 112958 HR 1907 HIP 26366
HD037216;G5;84.96666666666667;52.8975;8.59;7.84;9.0;5468.0;29.0;4.63;0.05;0.03;0.05;;;1998A&AS..129..237F (Feltzing);HD 37216 BD+52 982 SAO 25310 HIP 26653
HD037269;B9.5V+...;84.65833333333333;30.492416666666667;5.82;5.4;1.7;6239.0;71.0;3.97;0.12;0.02;0.09;V;+...;;HD 37269 BD+30 963 SAO 58280 HR 1914 HIP 26536
HD037394;K1V;85.33333333333333;53.48105555555556;7.07;6.23;1.7;5328.0;27.0;4.67;0.05;0.21;0.05;V;;1983A&A...128..347P (Perrin);HD 37394 BD+53 934 SAO 25319 HR 1925 HIP 26779
HD037828;K0;85.22916666666667;-11.200055555555554;7.99;6.88;185.0;4442.0;29.0;1.14;0.11;-1.49;0.08;;;1996AJ....112.1517S (Shetrone);HD 37828 BD-11 1258 SAO 150685 HIP 26740
HD037984;K1III;85.62083333333334;1.474638888888889;6.07;4.91;88.3;4480.0;22.0;2.24;0.09;-0.45;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 37984 BD+01 1105 SAO 113056 HR 1963 HIP 26885
HD037986;G8/K0IV;85.475;-15.630555555555556;8.16;7.37;67.0;5502.0;38.0;4.28;0.08;0.33;0.06;;/K0IV;1998A&AS..129..237F (Feltzing);HD 37986 BD-15 1126 SAO 150708 HIP 26834
HD038656;G8III;87.29166666666667;39.18108333333333;5.46;4.52;-19.6;4953.0;25.0;2.6;0.07;-0.19;0.06;III;;1990ApJS...74.1075M (McWilliam);HD 38656 BD+39 1418 SAO 58465 HR 1995 HIP 27483
HD038674;K2;86.91666666666667;4.852583333333333;9.43;7.89;;4069.0;18.0;1.85;0.15;-0.47;0.08;;;2001A&A...369.1048P (Prugniel);HD 38674 BD+04 1039 SAO 113145 HIP 27360
HD038899;B9IV;87.3875;12.651333333333334;4.82;4.88;18.0;10385.0;138.0;3.89;0.05;-0.16;0.07;IV;;1993A&A...274..335S (Smith);HD 38899 BD+12 912 SAO 94888 HR 2010 HIP 27511
HD039003;G9.5III;87.87083333333334;39.14847222222223;5.11;3.98;9.7;4678.0;20.0;2.36;0.06;-0.02;0.04;III;;1995AJ....110.2968L (Luck);HD 39003 BD+39 1429 SAO 58502 HR 2012 HIP 27673
HD039118;G8III+...;87.625;2.024694444444445;6.81;5.99;36.3;4927.0;49.0;2.01;0.13;-0.12;0.12;III;+...;2001A&A...369.1048P (Prugniel);HD 39118 BD+01 1148 HD 39119 SAO 113198 HR 2024 HIP 27588
HD039225;M1.5II-III;88.16666666666667;33.91747222222222;7.65;6.07;99.9;3653.0;9.0;1.35;0.17;-0.29;0.07;II;#NAME?;;HD 39225 BD+33 1179 SAO 58528 HR 2028 HIP 27778
HD039283;A2V;88.7125;55.706944444444446;5.02;4.97;-11.8;8856.0;68.0;4.13;0.04;-0.36;0.06;V;;1987MNRAS.226..563S (Smith);HD 39283 BD+55 1027 SAO 25450 HR 2029 HIP 27949
HD039587;G0V;88.59583333333333;20.276166666666665;5.0;4.41;-13.5;5942.0;26.0;4.43;0.05;-0.04;0.04;V;;1993A&A...275..101E (Edvardsson);HD 39587 BD+20 1162 SAO 77705 HR 2047 HIP 27913
HD039801;M1;88.79166666666667;7.407055555555556;2.35;0.58;21.0;3626.0;10.0;0.13;0.1;0.09;0.05;;;2000ApJ...537..205R (Ramirez);HD 39801 BD+07 1055 SAO 113271 HR 2061 HIP 27989
HD039833;G0III;88.75833333333334;-0.5079722222222223;8.25;7.66;;5855.0;35.0;4.41;0.07;0.15;0.05;III;;2000A&AS..141..491C (Chen);HD 39833 BD-00 1115 SAO 132641 HIP 27980
HD039853;K5III;88.68333333333334;-11.774194444444444;7.19;5.64;86.0;3872.0;10.0;1.61;0.12;-0.46;0.06;III;;2000A&A...364..674C (Castilho);HD 39853 BD-11 1321 SAO 150932 HR 2065 HIP 27938
HD039866;A2II;89.14166666666667;28.94227777777778;6.61;6.36;19.0;9427.0;129.0;2.15;0.04;-0.34;0.1;II;;1972A&A....19..369A (Aydin);HD 39866 BD+28 952 SAO 77744 HR 2066 HIP 28117
HD040035;K0III;89.88333333333334;54.284666666666666;4.74;3.73;8.2;4859.0;22.0;2.59;0.06;-0.07;0.05;III;;1990ApJS...74.1075M (McWilliam);HD 40035 BD+54 970 SAO 25502 HR 2077 HIP 28358
HD040111;B0.5II;89.5;25.953916666666665;4.74;4.82;8.0;25771.0;1684.0;3.27;0.08;-0.06;0.07;II;;;HD 40111 BD+25 1052 SAO 77775 HR 2084 HIP 28237
HD040136;F1V;89.1;-14.167694444444445;4.02;3.72;-2.4;6997.0;27.0;4.08;0.03;-0.05;0.03;V;;1990ApJ...354..310B (Balachandran);HD 40136 BD-14 1286 SAO 150957 HR 2085 HIP 28103
HD040183;A2IV+...;89.88333333333334;44.94744444444444;1.97;1.9;-18.2;8774.0;131.0;3.55;0.18;-0.11;0.13;IV;+...;1969ApJ...158.1099T (Toy);HD 40183 BD+44 1328 SAO 40750 HR 2088 HIP 28360
HD040239;M3II;89.98333333333333;45.93672222222222;6.02;4.35;0.8;3388.0;6.0;0.55;0.1;0.03;0.04;II;;;HD 40239 BD+45 1217 SAO 40756 HR 2091 HIP 28404
HD040460;K1III;90.025;27.272194444444445;7.64;6.61;96.0;4804.0;28.0;2.53;0.09;-0.25;0.07;III;;1986A&A...161..314C (Cottrell);HD 40460 BD+27 943 SAO 77819 HIP 28417
HD040536;A6m;89.76666666666667;-9.55825;5.21;5.04;21.7;7836.0;120.0;3.69;0.15;0.38;0.12;;m;;HD 40536 BD-09 1285 SAO 132715 HR 2108 HIP 28325
